Division / Functional Team,Email Address/Distro,Slack Channel (Public),Slack User Groups
Revenue Organization,revenueorg-all@digitalocean.com,#revenue_org_all (CRO only),N/A
Revenue Operations,revops-all@digitalocean.com,N/A,@revops
Customer & Channel (All),customerandchannel-all@digitalocean.com,N/A,N/A
Customer Support Team (All),customersupport-all@digitalocean.com,#support-team-public,"@customer_support"
AI/ML Support Team,ai-ml-support@digitalocean.com,#aiml-support-team-public,@cust-ops-team
Customer Service,customerservice-all@digitalocean.com,#support-team-public,N/A
Support Upstack Team,support-upstack@digitalocean.com,#support-team-public,N/A
Customer Success Engineers,cse@digitalocean.com,#cse-team-public,@cse
Technical Account Management Team,tams@digitalocean.com,#tams-team-public,@tam
Growth Account Management,gams@digitalocean.com,N/A,@gams
Channel Partnership (Internal),channelpartners@digitalocean.com,N/A,@channel-partners
Business Developments Representatives,bdr@digitalocean.com,#sales-team-public,@bdr
Core DO Sales,coresales@digitalocean.com,#sales-team-public,@accountexecs
AI/ML Sales Team,aimlsales@digitalocean.com,#sales-ai-ml,@ai-ml-sales-team
Solutions,solutions@digitalocean.com,#solutions-team-public,@solutions-team
